"","Sample","PSMA1","PSMA2","PSMA3","PSMA4","PSMA5","PSMA7","PSMB1","PSMB2","PSMB3","PSMB4","PSMB5","PSMB6","PSMB7","PSMB8","PSMB9","PSMC1","PSMC2","PSMC3","PSMC4","PSMC5","PSMC6","PSMD1","PSMD2","PSMD3","PSMD4","PSMD5","PSMD6","PSMD7","PSMD8","PSMD9","PSMD10","PSMD11","PSMD12","PSMD13","PSMD14","PSME1","PSME3","histology","proteasome_mean"
"11","MED-565",11.6612,10.3194,7.2472,11.3232,8.5868,10.3454,11.7679,8.0055,11.1005,11.6508,11.0708,11.2661,9.2428,6.4651,6.3468,11.391,9.2444,10.3708,9.8708,10.8665,10.4212,10.209,10.6639,9.9658,10.9306,6.3102,7.9836,10.4245,10.6188,8.4783,10.8576,10.2524,10.2528,9.4186,10.1996,10.4597,9.322,"Medulloblastoma",9.86247567567568
"12","MED-613",11.6194,10.5949,7.4645,11.1117,8.7607,10.1411,11.0855,7.9389,11.2929,11.6281,12.3918,11.4116,9.0647,7.3164,7.2004,11.2082,9.4581,9.8717,10.1799,10.7938,10.6309,10.1668,10.973,9.7422,10.757,7.7849,7.4271,10.7845,10.5827,8.978,10.9603,9.9808,10.2208,9.4121,11.215,10.9689,9.1058,"Medulloblastoma",10.0060837837838
"13","MED-676",11.7063,10.5539,6.8505,10.8761,9.4088,10.5941,11.8644,7.8786,11.461,11.966,12.2167,11.3109,9.0994,6.8431,6.5978,11.4782,9.6218,11.09,9.9419,11.1629,11.2451,10.4301,10.9727,10.3674,11.2979,7.6069,8.3592,10.5645,10.9406,8.6281,11.0028,10.4172,10.4172,9.9248,13.1743,10.6408,8.464,"Medulloblastoma",10.1885405405405
"14","MED-719",11.8895,10.6397,7.1188,11.0387,9.2727,10.3065,12.2173,7.3989,11.3376,11.9473,11.391,11.0951,9.0809,8.0659,8.1142,11.1781,9.3734,10.0036,9.7271,10.5989,11.0507,9.2781,10.4229,10.3151,11.0281,6.8524,8.1736,10.3844,10.6146,8.721,10.4909,9.5951,10.1875,9.4376,10.9943,11.245,7.7585,"Medulloblastoma",9.95527027027027
"15","MED-791",11.7017,10.6271,7.3407,10.9466,9.851,10.9519,12.31,7.3403,12.1234,11.6383,11.5902,10.8347,8.9358,7.6218,7.2107,11.4349,9.8472,10.4642,10.8082,11.5912,11.2454,10.4722,10.812,10.7848,11.3494,7.8201,8.3454,10.5626,11.1518,9.0336,10.7858,10.6009,11.1754,9.6376,12.4941,10.5984,9.2198,"Medulloblastoma",10.3043027027027
"16","MED-797",10.7801,10.374,6.7834,11.0269,9.3953,10.6493,12.0157,7.7245,11.7693,11.9608,11.1683,11.1805,9.5507,8.015,8.1566,11.5137,9.6313,9.8921,9.9801,11.493,10.5829,10.7794,11.2372,10.9393,11.4739,7.7931,7.9027,10.6346,11.2009,8.4494,10.9607,10.8611,10.9768,8.556,12.4399,11.5248,9.9567,"Medulloblastoma",10.2521621621622
"17","MED-801",12.1024,10.9284,6.8822,11.3924,9.1092,10.9204,12.5358,7.9589,12.106,12.3987,11.8227,11.2789,9.6902,8.062,7.9636,11.7292,9.2794,11.7622,10.3582,11.2308,10.7524,10.3859,10.9051,10.6212,11.599,6.3248,7.7103,10.7126,11.4222,8.9374,10.7809,10.2873,10.572,10.0448,11.7409,10.8732,8.9155,"Medulloblastoma",10.3269486486486
"18","MED-801b",11.7207,10.7946,6.7018,11.4756,9.1228,10.7673,12.294,7.7813,11.6877,12.1158,11.4308,10.8413,9.5669,7.7873,7.9505,11.2378,8.9917,10.8375,9.8858,11.0205,10.9494,10.0068,10.5987,10.3668,11.1836,6.388,8.0067,10.5576,11.1783,8.6019,10.6646,10.181,10.5487,9.8472,11.5512,10.506,8.6356,"Medulloblastoma",10.1022648648649
"19","MED-877",12.1725,10.9294,7.4987,11.4539,9.1288,11.002,12.4355,7.6467,11.8906,12.2866,11.7343,11.989,8.5243,10.1968,10.8832,11.8216,9.1146,11.4765,10.5738,11.5152,11.3826,10.2725,11.0726,10.0406,11.4696,7.1489,7.8228,10.613,11.3857,8.7683,10.8248,9.8529,10.3022,9.9966,11.9909,11.5918,8.4548,"Medulloblastoma",10.4666108108108
"20","MED-898",11.3253,10.7298,6.7146,11.2965,9.3045,10.6289,12.3304,7.4475,11.5858,12.1914,11.7725,10.7973,8.7002,8.0481,8.3229,11.606,9.5525,10.5767,10.0347,11.2919,11.0419,9.8904,10.8732,10.2812,11.5725,6.7284,7.7327,10.384,11.0914,8.5151,10.6122,9.9698,10.2935,9.5938,11.522,11.2199,8.263,"Medulloblastoma",10.1038513513514
"21","MED-925",12.1887,10.8307,7.0082,11.3874,9.6698,10.9449,12.7134,7.6708,12.2955,12.7334,12.1493,11.0215,8.8401,9.1919,9.2068,11.6448,8.9554,11.8928,10.3063,11.7865,11.1046,10.3469,10.8927,10.8593,11.9942,7.5388,7.6274,10.1792,11.3089,8.8223,10.9628,10.8345,11.0313,10.5891,13.2444,11.4134,9.4972,"Medulloblastoma",10.5590594594595
