"","Sample","PSMA1","PSMA3","PSMA4","PSMA5","PSMA7","PSMB1","PSMB2","PSMB3","PSMB4","PSMB5","PSMB6","PSMB7","PSMB8","PSMB9","PSMC2","PSMC3","PSMC4","PSMC5","PSMC6","PSMD1","PSMD3","PSMD4","PSMD5","PSMD6","PSMD7","PSMD8","PSMD10","PSMD11","PSMD12","PSMD13","PSMD14","PSME1","PSME2","PSME3","Subgroup","proteasome_mean"
"663","MB_SubtypeStudy_55663",6.73877593010562,8.38974404632832,8.61046308191549,7.21086366987395,7.66698714849165,8.70801113143809,9.95533978485173,8.88553421689445,9.41088091415419,7.85823418113792,7.76935736023497,8.93419615492843,4.24979379652758,5.60910506685196,9.65555385016393,7.67629239538525,9.82451176160382,8.51245464972371,7.70049013754028,9.60347773536477,9.16371108336692,6.20831729111292,8.70689047446478,6.75236736028812,9.49376908783208,9.2608275134966,10.4328980473859,9.931001031149,7.66436836435524,7.68848349210089,8.82096579972147,8.34078845249945,8.98266683271109,10.2748149921643,"Group4",8.3732922598872
"664","MB_SubtypeStudy_55664",7.50658317881165,7.94173898090882,8.55923391717863,7.61903684542972,8.47562695220046,7.48385850128562,9.8769838643975,10.2482358912074,9.97575295099359,9.15422044283093,10.926213787158,9.67572057675218,4.97663506922727,6.34417165682971,8.80660804147009,8.45517186536064,10.1319711827976,7.97479142510131,7.0462533524508,9.02799261349728,9.28152627620947,6.26478196075702,8.21874498059755,7.45968083904229,9.51018842006317,10.6900401304709,9.99462429116864,9.43172432562645,6.96987592321163,7.86479416504237,8.19749785822175,8.97226638118509,9.81088051776181,10.052945707935,"WNT",8.6154815550936
"665","MB_SubtypeStudy_55665",7.94963878894804,8.19706137033302,9.23445215433204,7.30895083820983,8.33161201204263,8.42513389026664,9.85356793387181,9.39453684175751,9.78002868003819,8.522941359961,8.74773135256527,9.0966657451041,4.24191614474641,5.81024207664895,9.42896210584182,8.14706745502946,9.41503768335355,8.6576278674064,8.12501885056615,9.6104305176181,9.43841609759825,6.59736749874311,8.30669624332073,8.14170533580693,9.52017267199252,9.86800372726179,10.4934397594362,9.9727834392104,8.05981670170162,7.73031093383691,8.98621797087855,8.38181105647258,9.07761269311328,10.1343946070761,"Group4",8.61727565897323
"666","MB_SubtypeStudy_55666",7.36719057690381,8.42000353367401,8.8174017047562,7.10737418316947,7.79271661498565,8.55732065023657,9.67243064383498,9.19984346048052,9.53886107037477,8.03210809940273,8.60034679016938,9.02599713862132,4.64164190247098,6.11922759264502,9.64870037907899,7.82213075679791,9.58197312532321,8.69662142781725,8.00078248012353,9.46317001195289,9.23680840209188,6.49193985462511,8.63607538595127,7.72291109879733,9.58782262410827,9.02927349738069,9.71304445252846,9.92636239500425,8.01733927008317,7.3890510274623,8.27320075435308,8.32118143250451,9.20557411324039,10.4377148227855,"Group4",8.47335709628634
"667","MB_SubtypeStudy_55667",7.99078276019707,8.3135189739177,9.54977835536101,7.21796788646061,7.87655818343497,7.98115898651703,9.87423845542288,8.59844822227017,9.66425537451471,8.42244372396656,9.18558554369303,8.53380650711079,5.5249557567251,8.03678556101759,9.47462644540412,8.01626235762955,9.45495167054068,7.9485097851173,8.06744116303443,9.42916782695263,8.95104961514297,5.87324863332723,8.38776203358947,7.68464922741494,9.32070221611005,9.46008481960005,10.6204672594676,9.49393543188679,7.19453037297639,7.31794415831483,7.84728755788877,9.12938733001065,8.88580015021616,9.56790820887274,"SHH",8.49694119276784
"668","MB_SubtypeStudy_55668",8.22471679588136,8.31309752623516,9.61393881097581,7.31078787391187,8.02827883077159,8.34266674938226,9.92305286903772,8.85726324062337,9.81232320886646,8.53714246788871,8.64090577440638,9.0855721861006,4.54664678849053,6.49748683320724,9.61329573021011,8.31433863901008,9.38552917336212,7.86474904911817,7.70503537685959,9.60047590212876,8.91337228665978,6.20054057031603,6.07918006036574,6.99537470104061,9.41866026701139,9.81110598361216,10.4810160440199,9.71749923858298,7.48443225241434,7.6113675644612,8.11819186837647,8.7038274378953,8.24737879991605,9.78319078650606,"SHH",8.40536593198959
"669","MB_SubtypeStudy_55669",7.47643017520178,8.59120024450479,9.59848048681399,7.08281527879579,7.84467154049137,7.87442342766281,9.73173782668722,8.9486478563372,9.73554663777273,8.31064363893676,8.41886918571952,8.77136983236698,4.34743112050522,6.06353203604427,9.65382890167082,7.90609395267003,9.31057799180253,8.5940563899307,8.09590325739173,9.7639825707932,8.89246110885559,6.71028426947902,7.93856956058508,7.66564320372655,9.02226630767398,9.24206592866896,9.97264953773258,10.0627944159737,7.81194198204553,7.60168479567139,9.55856831748778,8.39837282162234,8.9312809786601,10.3877642386014,"Group4",8.47989970055539
"670","MB_SubtypeStudy_55670",7.28790842057219,7.82634026851313,8.66008547566878,7.51964280158386,8.00604980100913,7.37564468939375,10.1417555823526,9.24228643828341,10.1510685597048,8.43780189105705,10.4700117587256,9.0005180007099,4.60432781520262,6.25790588295578,9.19326202549485,8.36896852357928,10.1475101841979,7.80888113720572,7.24059859831446,9.2824198970985,9.17370872011699,6.18686610638777,8.59336325286717,7.84291750221456,9.31706008239764,10.0925866444781,10.6113419684365,9.42590231183914,6.818593858927,7.23603609772052,8.27821272460305,9.01291432402467,9.3749216231566,10.1404987934948,"WNT",8.50376211065552
"671","MB_SubtypeStudy_55671",6.62900613086197,8.07969513502611,9.13870070324712,7.34687270988357,7.94173413870453,8.3438443954073,9.73928566581298,9.26752593780045,10.0014494216363,7.99494397127502,9.46369927920525,9.43098948161758,4.92736520672326,7.01914433101429,9.94633367975353,7.88114366871202,9.43675851248646,8.77423512731963,7.52314034973366,9.79718870661582,9.54150137329127,6.73454488252059,8.33852591181887,7.97081720925463,9.38911271742716,9.25969880560547,10.0751691343169,10.2695860701248,8.12971449868242,7.77114315529087,8.30405570224305,8.32065340489908,8.73437931996467,10.4423566167451,"Group4",8.58718574573593
"672","MB_SubtypeStudy_55672",7.47053776514428,8.26681616435732,9.21433010285547,7.44208838166723,7.94259255148921,7.72212680366561,9.88931065288367,9.34622351871817,9.86604543857252,8.8796906237846,9.6967017381464,9.35040840192266,4.29538516358165,5.92088051012387,9.22021757965167,8.34990633425159,9.49867169909758,8.04815927965185,7.80875819208502,9.55399294592678,9.0656131357351,6.09051740858214,8.60400137920194,7.84455929066741,9.63355721989849,9.98730173702065,10.6123690043851,9.46155874161243,7.41413834061775,7.7187800739472,8.73602181261352,8.28475125705072,9.15960082799682,10.0593864361554,"WNT",8.54279413273711
"673","MB_SubtypeStudy_55673",6.8167817155466,8.3168262581275,9.42839524502543,7.37838983859109,7.70104806772469,7.57073678838178,10.1045042592714,8.9836532582645,9.92476811179738,8.94405814758962,9.57496071257356,9.1014119771305,4.05372675002842,5.73440314638125,9.50312670431533,8.28632629470846,9.58619954300847,8.05515558050256,7.95801290093935,9.54530947204285,8.86517487312114,6.36699222563943,8.84839064066399,8.03075195855039,9.60982561772651,9.83081042304102,10.6879916209402,9.71533526686154,7.42354752116479,7.69103741291002,8.76118378336591,8.51889841783417,8.6082973593076,10.0869911634265,"WNT",8.51803008989718
"674","MB_SubtypeStudy_55674",7.60967411502496,8.01838197120855,9.45094307595361,6.83584096779255,7.83958877951358,7.84118212355948,10.101095920311,9.14214193211107,10.2220374809039,8.11586901806185,8.25604168868351,8.75986105533061,4.46623176323292,5.99728551017962,9.35948505680408,8.03534273203766,9.65038855673447,8.23341374066688,7.56145992478996,9.69663080216631,9.41235160099546,6.18761203422066,7.71393860929309,7.76848677386321,9.41884476311398,9.57678061720867,10.5963600924363,9.99407077181868,7.9940453072381,7.27893195207628,9.13615020829929,8.28223286334932,8.402781211678,10.1359123129075,"Group4",8.44386456863427
"675","MB_SubtypeStudy_55675",6.55199733710983,8.1620253908294,9.31903557635243,7.32051640325361,7.7939108066597,7.97472754744951,9.79318819600474,8.85316754676721,9.56561361422445,8.63591819787383,9.77495551620066,9.36245391017031,3.92577955496804,5.72251808643457,9.22311932800604,8.26544665134595,9.99117137624394,7.96544414123502,7.94709784128203,9.46738580315618,8.61823044406644,6.64358844555087,8.8303053533011,7.95085298155419,9.23041199379834,10.0791343944081,10.5185478038996,9.72876010211143,7.25170643775806,7.48513078366671,8.22255395747918,9.2861383548042,9.13646559955057,9.94868654679096,"WNT",8.48664664777374
"676","MB_SubtypeStudy_55676",7.57794491862438,7.60571528811934,8.81413385261975,7.21187317617822,7.44179714906197,7.39219626014841,9.8084138700354,7.86166918758924,9.4102305476831,7.94635247847079,8.65276059184506,8.96031093965212,4.43962220215247,6.02762229590483,8.89312755203889,7.46283803988875,8.81588151018526,7.17644252781978,7.63531985337832,8.84608388450275,8.55236786328083,6.04062187835632,8.80244268901012,7.56140167788451,8.92688525356924,9.08464140312992,10.0504135518334,9.12344132192142,7.07165675440557,7.30377731088663,7.70486924864119,8.74778060787475,7.95967775667679,8.88709704820824,"SHH",8.05286501445817
"677","MB_SubtypeStudy_55677",7.02552249533106,8.09380244796296,9.16244238971407,7.33643609622212,7.77161679226511,8.12215972941991,9.99124278649897,9.2863659462101,9.78148437234303,7.81477988490147,8.60235672863594,8.81390127791807,5.10018695337338,6.60530710734488,9.25623748212541,7.68273853032956,9.65114923996817,8.22068701908423,7.60314619721931,9.27880824936266,9.58629338216505,5.90440664385263,8.11335920647515,7.73045510252788,9.23157689638933,9.4489116206673,10.4589529967342,10.2232812008078,7.95135635502679,7.30962646018025,7.95405449835595,8.75036251117186,9.108225868141,10.3255105827462,"Group4",8.44990426621976
"678","MB_SubtypeStudy_55678",6.17835372355784,7.66512689227865,8.24625281514335,7.00441060140578,7.55130366221844,8.02636984548973,9.87215930863166,8.47467556353169,9.34138107592734,7.90713247027099,8.47785129551609,8.50770043820517,4.76145358431243,6.02279202566795,9.63523870795173,7.67926714919723,9.59374213376249,8.51507596177037,7.47802281450881,9.44190370201177,8.81013854102599,5.5387766754085,7.78845050724768,7.39293771477881,8.34761467210768,9.04470972451642,10.3708381082128,9.27858528083977,7.73545030492704,7.26101892234034,8.15313973227899,8.09556277247105,8.86682213005776,9.563017717052,"Group4",8.13609636984189
